ID,label,Japanese comment,English comment,not scary,cute,cool,beautiful,not scary eye,not scary flash,cool fur,good cat,not difficult  to identify,nice eye catchlight,beautiful eye color,not dark photo,black fur,green grass,white cat,looking at the camera,not glowing eye,no surrounding unnecessary text,well-resolved fur,blurred background,natural light,soft light
CAT_00-00000001_000,2,表情が怖い,The expression is scary.,2,1,4,3,1,5,5,2,5,1,2,2,1,1,5,5,5,5,5,1,4,5
CAT_00-00000001_005,4,目がクリクリしていてかわいい,The eyes are round and cute.,5,5,1,4,5,4,2,5,5,4,4,5,4,1,1,5,5,5,4,1,2,3
CAT_00-00000001_011,1,目が怖い,The eyes are scary.,2,2,3,2,1,3,3,2,5,1,1,5,3,1,1,2,5,5,4,1,1,2
CAT_00-00000001_012,5,キリリとしていてかっこいい。毛も詳細まで解像していて綺麗。,Sharp and cool. The fur is beautifully detailed.,5,2,5,4,5,5,3,5,5,5,4,5,1,1,1,1,5,5,5,5,5,2
CAT_00-00000001_017,4,ちょっと暗いけど、可愛い,"It's a bit dark, but cute.",5,4,1,3,4,3,2,4,4,4,3,4,4,1,1,5,5,5,2,3,2,2
CAT_00-00000001_020,2,怖い。広角レンズを使っているのか迫ってきている感じがする。フラッシュもちょっと強い。,"Scary. It feels like it's coming at me, maybe a wide-angle lens is being used. The flash is a bit strong.",2,2,4,2,2,2,3,3,5,4,4,5,1,1,1,5,3,5,5,2,1,1
CAT_00-00000001_024,4,瞳が細くてちょっと怖いけど、全体的にきちんと撮れている印象。,"The eyes are narrow and a bit scary, but overall, the image looks well captured.",4,2,5,4,3,5,4,4,5,3,3,5,1,1,1,4,5,5,4,3,4,4
CAT_00-00000001_027,4,雑誌に対して何か考えていそうなところが、ストーリー性があって良い,"The fact that it seems to be thinking about something in relation to the magazine gives it a sense of story, which is good.",4,5,2,2,3,4,3,4,3,1,1,5,1,1,5,1,5,5,2,1,5,2
CAT_00-00000002_001,4,イカ耳がちょっと気になるけど、毛の詳細まで解像されている＆背景がボケてて猫にフォーカスされているところが写真として良い,"The squid-like ears are a bit of a concern, but the detail in the fur and the blurred background focusing on the cat makes for a good photo.",2,2,5,4,3,5,4,5,5,2,4,5,3,1,1,2,5,5,5,5,5,5
CAT_00-00000002_003,4,よく解像されている。表情も何かを訴えかけている感じが良い。背景もボケててよい。,It's well-resolved. The expression that seems to be appealing something is good. The blurred background is also good.,3,2,4,4,2,5,4,4,5,2,4,5,3,1,1,5,5,5,5,5,5,5
CAT_00-00000002_008,1,猫の顔が識別しづらい。色も全体的に黄色っぽい。,The cat's face is hard to identify. The color is also overall yellowish.,2,2,2,1,5,5,2,2,2,5,1,2,4,1,1,1,5,5,2,3,5,4
CAT_00-00000003_009,2,顔が識別しづらい。光がちょうど目のところに当たっていて、余計に見づらい。,"The face is hard to identify. The light hits right in the eyes, making it even harder to see.",2,1,4,2,2,5,3,2,2,1,4,3,5,1,1,5,5,5,2,1,5,1
CAT_00-00000003_013,2,光の関係か全体的にボケている印象,"The impression is that the whole thing is blurred, possibly due to the light.",4,3,3,2,3,5,2,2,3,1,1,5,1,1,1,1,5,5,1,3,5,2
CAT_00-00000003_015,4,かっこいい。黒猫なのにきちんと毛が解像されていて素晴らしい。表情も凛々しい。,"Cool. Despite being a black cat, the fur is clearly visible, which is wonderful. The expression is also gallant.",2,1,5,4,1,5,5,4,5,3,3,5,5,1,1,1,5,5,5,3,5,2
CAT_00-00000003_020,2,怖い。瞳が細いのとフラッシュが強すぎて怖い。,Scary. The narrow pupils and the overly strong flash are scary.,2,2,3,3,1,3,3,2,5,2,4,5,3,1,2,3,2,5,5,3,1,1
CAT_00-00000003_024,2,フラッシュ強いし、瞳もちょっと怖いし、ポーズも好きじゃない。,"The flash is strong, the eyes are a bit scary, and I don't like the pose.",3,1,1,2,1,2,3,1,5,1,4,5,3,1,1,5,2,5,4,1,1,2
CAT_00-00000003_026,4,驚いている表情が良い。子猫なのも相まってストーリー性があって好き。,"The surprised expression is good. The fact that it's a kitten adds a sense of story, which I like.",3,5,1,3,2,3,3,4,4,5,3,5,3,1,1,1,5,5,4,3,2,3
CAT_00-00000004_007,2,猫の顔が識別しにくい,The cat's face is hard to identify.,2,1,4,2,2,5,4,3,2,3,3,4,5,4,1,5,2,5,1,1,5,5
CAT_00-00000004_008,4,周りの文言とかはない方がいいが、猫の表情はよい。,"It would be better without the surrounding text, but the cat's expression is good.",3,3,3,4,3,4,4,4,4,4,4,5,2,1,2,5,5,1,4,2,4,3
CAT_00-00000004_018,2,表情が好きじゃない。体勢も気になる。,I don't like the expression. The posture is also of concern.,2,1,1,2,2,3,4,1,5,1,1,5,3,1,1,1,5,5,4,1,2,2
CAT_00-00000005_001,4,何かを訴えかける目がいい。毛並みもよく撮れている,The eyes that seem to appeal something are good. The fur is also well captured.,3,3,4,3,2,2,3,4,5,5,4,5,3,1,1,5,5,5,4,2,2,2
CAT_00-00000005_017,2,表情が好きじゃない。体勢も一瞬認識しにくい。,I don't like the expression. The posture is also difficult to recognize for a moment.,3,2,4,2,2,2,3,2,4,2,2,4,2,1,3,5,5,5,4,3,2,2
CAT_00-00000005_023,4,目がちょっと気になるが、毛並みはよく撮れている。,"The eyes are a bit concerning, but the fur is well captured.",2,2,3,3,1,4,3,3,4,5,1,4,3,1,1,5,5,5,4,1,4,3
CAT_00-00000006_008,2,自然光なのは気持ちよさそうでいいのに、猫の表情が好きじゃない,"The natural light seems comfortable and nice, but I don't like the cat's expression.",3,2,2,2,3,4,3,2,4,2,2,4,2,2,2,4,5,5,3,3,5,5
CAT_00-00000006_009,4,自然光で毛並みも改造されていて、背景もボケていて可愛い。木にしがみついていそうなポーズも良い。,"The natural light enhances the fur, and the blurred background is cute. The pose, as if clinging to a tree, is also good.",4,4,4,4,3,4,3,4,4,2,2,4,3,3,2,3,5,5,4,5,4,4
CAT_00-00000006_013,2,暗くて猫が識別しにくい,It's dark and hard to identify the cat.,2,2,3,1,3,5,3,2,2,1,2,1,3,1,1,5,5,5,2,2,2,2
